ID,Gender,Grade,Rating,Promotion,Skill,Experience,Pay Position,Increment,Age,CGExperience,Status
1111111126,M,Level4,3,No,Cons,9,1,98175,31.8,4.39,Active
1111111127,M,Level4,3,No,Cons,7.6,1,101266,34.6,4.27,Active
1111111132,M,Level3,3,Yes,Inf,9.7,1.3,89583,31.1,3.76,Active
1111111136,M,Level4,3,No,Custom,3.6,0.8,90750,30.4,3.56,Active
1111111138,F,Level3,3,No,BI,7.1,1.2,0,31.1,3.55,Exited
1111111143,F,Level3,3,Yes,Cons,10.5,1.2,91000,34.1,3.26,Active
1111111155,F,Level3,3,No,Cons,4.5,0.8,53904,28.3,2.56,Active
1111111156,M,Level3,3,No,Cons,10,0.6,52500,32.1,2.52,Active
1111111161,M,Level2,4,No,Cons,4.6,1.4,0,28.9,2.46,Exited
1111111167,F,Level1,3,No,Cons,4.2,1.6,39570,33,2.21,Active
1111111168,M,Level2,2,Yes,Dig,5.6,0.7,105008,33.6,2.2,Active
1111111172,F,Level3,2,No,Custom,8.7,0.9,80000,30.4,2.02,Active
1111111173,F,Level2,3,No,Cons,6.3,1,50055,29.2,1.99,Active
1111111174,M,Level3,2,Yes,Cons,10.3,1.5,176570,36.3,1.88,Active
1111111175,M,Level1,4,No,Cons,6.7,1.8,0,34.1,1.87,Exited
1111111178,F,Level3,3,No,Custom,6,0.4,73446,32.8,1.79,Active
1111111182,M,Level3,3,No,Cons,3.9,0.8,66031,36.4,1.74,Active
1111111183,M,Level1,1,Yes,Dig,5.4,0.7,81657,30.2,1.73,Active
1111111186,F,Level1,3,No,Cons,5.4,1,31545,27.5,1.68,Active
1111111191,M,Level3,1,No,BI,8.8,0.8,95790,35.6,1.61,Active
1111111193,M,Level1,3,No,Cons,3.2,1,33210,26.2,1.57,Active
1111111194,M,Level3,2,No,Custom,3.6,1.2,79013,27.6,1.57,Exited
1111111195,M,Level3,3,No,Custom,3.5,1.2,43098,27.4,1.57,Exited
1111111201,F,Level2,3,No,Cons,4.7,0.6,80800,30.3,1.5,Active
1111111203,M,Level1,3,Yes,BI,1.5,1.2,64124,23.5,1.47,Exited
1111111206,F,Level1,4,No,Cons,2.6,0.9,0,26.1,0.85,Exited
1111111212,F,Level1,3,No,Cons,0.7,0.9,21326,25.4,0.73,Exited
1111111217,F,Level2,3,No,DB,4.4,0.7,26980,27.7,0.68,Active
1111111218,M,Level3,3,No,BI,3,1.4,27043,27.5,0.57,Active
1111111228,M,Level3,3,No,Cons,5.4,0.8,0,27.1,0.47,Active
1111111234,M,Level3,3,No,Cons,7.5,1.4,0,32.6,0.36,Active
1111111235,F,Level3,3,No,Cons,0.4,0.7,0,34.7,0.34,Active
1111111236,M,Level3,3,No,ERP,7.5,0.7,0,34.5,0.3,Active
1111111237,F,Level2,3,No,Networking,4.7,1,0,27.8,0.3,Active
1111111238,F,Level2,3,No,BI,0.3,1.4,0,26.2,0.32,Active
1111111239,M,Level3,3,No,Jav,6.2,1,0,35.3,0.28,Active
1111111249,M,Level4,3,No,Custom,10.4,0.9,197487,39.6,10.42,Active
1111111250,M,Level4,3,No,Inf,10.3,1.2,146212,39.5,10.27,Active
1111111252,M,Level3,3,Yes,HCM,10,1,305525,34.5,9.95,Active
1111111257,F,Level4,2,No,Jav,9.4,0.7,208623,45.2,9.43,Active
1111111261,M,Level3,3,No,HCM,9,1.3,103930,36,9.03,Active
1111111263,M,Level3,2,Yes,Dig,8.7,0.8,237717,44.6,8.71,Active
1111111264,M,Level4,2,No,Inf,8.6,0.9,182723,34.4,8.59,Active
1111111267,M,Level3,3,No,Ora,8.3,0.9,111059,31.4,8.3,Active
1111111270,M,Level3,3,No,HCM,9.9,1.2,100116,41.1,9.85,Active
1111111277,M,Level3,3,No,Sales,7.1,1.1,119669,35.7,7.11,Active
1111111278,F,Level2,3,No,Dig,7.1,0.7,74828,32.8,7.11,Exited
1111111280,F,Level3,1,Yes,Dotnet,7,0.8,233262,28.9,6.99,Active
1111111285,F,Level3,2,No,Dig,10.9,0.8,148021,33.1,6.86,Active
1111111289,M,Level3,3,No,Custom,6.6,1,112053,41.4,6.61,Active
1111111293,M,Level4,3,No,Reporting,6.5,0.9,193587,41.1,6.44,Active
1111111297,F,Level3,2,Yes,Dotnet,10,1.3,239291,35.6,6.04,Exited
1111111300,M,Level3,3,No,HCM,10,1,125276,32.5,5.82,Active
1111111303,F,Level2,3,No,Dotnet,9.7,1,102990,34.3,5.71,Active
1111111308,M,Level3,3,No,Dotnet,8.5,1.1,117998,31,5.58,Active
1111111310,M,Level3,1,No,BI,9.5,0.8,173497,32.4,5.54,Active
1111111311,M,Level3,3,No,Jav,11.3,1.1,90491,34.2,5.52,Active
1111111313,M,Level3,3,No,Jav,10.7,1.2,96775,39.2,5.47,Active
1111111316,M,Level3,3,No,Custom,9,0.8,98312,31.5,5.44,Exited
1111111317,M,Level3,4,No,HCM,32.6,1.2,0,50.4,5.42,Active
1111111318,M,Level3,2,No,Dig,8.7,1.2,143925,32.5,5.41,Exited
1111111320,M,Level4,3,No,Inf,11.6,0.8,162479,36.9,5.33,Active
1111111325,M,Level3,1,No,Dig,10.9,1.1,169103,35.7,5.02,Active
1111111327,M,Level3,4,No,Tele,10.8,1,0,35.8,4.96,Exited
1111111330,M,Level3,2,Yes,Dig,15.9,0.8,157541,39.2,6.56,Active
1111111331,F,Level1,1,Yes,Dotnet,5.2,1.1,119488,25.8,4.79,Active
1111111334,M,Level4,3,No,Dig,10.4,1,180021,32.1,4.62,Active
1111111336,M,Level3,1,Yes,BI,6.1,1.3,230290,29.9,4.56,Active
1111111337,M,Level3,3,No,Inf,11.5,1.3,81170,34.5,4.5,Active
1111111343,M,Level3,3,No,Jav,7.5,1.2,99250,30,4.32,Active
1111111347,M,Level3,3,No,Jav,11.1,0.9,113413,34.3,4.27,Active
1111111350,M,Level2,3,No,BI,6.5,0.8,72394,32,4.22,Active
1111111351,F,Level3,2,No,Dig,10.5,1,157192,33.4,4.21,Active
1111111355,M,Level3,3,No,Jav,9.1,0.9,86706,44.4,4.18,Active
1111111357,M,Level3,4,No,Jav,12.2,1,0,43.9,4.18,Exited
1111111367,M,Level3,1,Yes,Custom,7.9,1,253781,30.2,3.94,Active
1111111369,M,Level3,4,No,Custom,9.7,1.1,0,34.1,3.93,Active
1111111370,F,Level4,3,No,Dig,11,1.1,139779,35,3.85,Active
